,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL,Employer est.,Per hour,Min Salary,Max Salary,Avg Salary,State,Companys Age,MachineLearning,python,power bi,big data,sql,Refined Title,Seniority
93,Senior Product Manager - Data and Analytics,$117K - $229K (Employer est.),"The Azure CXP team is the product and platform engineering, service delivery, onboarding, and customer success unit in Azure engineering, responsible for……
Skills: Power BI, Data modeling, Azure, R, Technical support",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-product-manager-data-and-analytics-microsoft-JV_IC1150499_KO0,41_KE42,51.htm?jl=1009381310905",1,0,117,229,173,WA,49,0,0,1,0,0,data analyst,senior
94,"VP Data, Analytics, AI",$147K - $188K (Glassdoor est.),"Advanced degree (Ph.D. or M.Sc.) in computer science, artificial intelligence, machine learning, bioinformatics, or a related field – Preferred.…
Skills: SAP SuccessFactors, Big data, DevOps, Machine learning, Natural language processing",3.7,Teva Pharmaceuticals,"Parsippany, NJ",10000+ Employees,1901,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/vp-data-analytics-ai-teva-pharmaceuticals-JV_IC1126931_KO0,20_KE21,41.htm?jl=1009378863702",0,0,147,188,167.5,NJ,123,1,0,0,1,0,data analyst,head
95,Manager - Data Science,$90K - $165K (Employer est.),"3-5 years of relevant experience with a degree in quantitative field such as mathematics or statistics. Credit & Fraud Risk (CFR) Finance team delivers fact……
Skills: Statistical software, Statistics, SQL, Machine learning, Regression analysis",4.1,Amex,"New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-data-science-amex-JV_IC1132348_KO0,20_KE21,25.htm?jl=1009314432842",1,0,90,165,127.5,NY,174,1,0,0,0,1,data scientist,manager
96,"Vice President, Data Science",$160K - $269K (Employer est.),"Understand the underlying data so that you can research and answer questions. Ten+ years relational databases, data structures/modeling, SQL programming.…
Skills: Data structures, SQL, Communication skills",3.8,Insagic,"New York, NY",10000+ Employees,1926,Company - Public,Advertising & Public Relations,Media & Communication,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/vice-president-data-science-insagic-JV_IC1132348_KO0,27_KE28,35.htm?jl=1009371231299",1,0,160,269,214.5,NY,98,0,0,0,0,1,data scientist,head
97,Sr Data Analyst,$113K - $158K (Employer est.),"Communicate business requirements to technical teams, and provide concise summaries of technical progress and/or roadblocks to business stakeholders.…
Skills: Jira, Tableau, SQL, Project management, Presentation skills",3.8,Disney Direct to Consumer,"New York, NY",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-data-analyst-disney-direct-to-consumer-JV_IC1132348_KO0,15_KE16,41.htm?jl=1009343144018",1,0,113,158,135.5,NY,101,0,0,0,0,1,data analyst,senior
98,"Senior Data Analyst, Insights and Marketing Analytics",$112K - $154K (Employer est.),"This global team is responsible for the insights that fuel Criteo-created content; the creation, execution, and analysis of customer, shopper, and marketer……
Skills: Microsoft Excel, Relational databases, R, Data analysis skills, English",4.1,Criteo,"New York, NY",1001 to 5000 Employees,2005,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/senior-data-analyst-insights-and-marketing-analytics-criteo-JV_IC1132348_KO0,52_KE53,59.htm?jl=1009340518320",1,0,112,154,133,NY,19,0,0,0,0,0,data analyst,senior
99,"Data Scientist, Amazon Ads",$126K - $213K (Employer est.),"You will be responsible for shaping the data science roadmap for NPL, fostering a culture of data-driven decision-making, and delivering significant business……
Skills: MATLAB, SAS, R, Data analysis skills, SQL",3.7,Amazon.com Services LLC,"New York, NY",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-amazon-ads-amazon-com-services-llc-JV_IC1132348_KO0,25_KE26,49.htm?jl=1009381628216",1,0,126,213,169.5,NY,30,0,0,0,0,1,data scientist,not applicable
100,Talent Business Insights Manager,$108K - $185K (Employer est.),"At least 5 years of experience leading data science, engineering, or advanced analytics initiatives. Integrate data into visualization tools, may include……
Skills: Power BI, Customer service, Data analysis skills, Tableau, Analysis skills",4,RSM US LLP,Remote,10000+ Employees,1964,Private Practice / Firm,Accounting & Tax,Financial Services,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/talent-business-insights-manager-rsm-us-llp-JV_KO0,32_KE33,43.htm?jl=1009350641517",1,0,108,185,146.5,Remote,60,0,0,1,0,0,data analyst,manager
101,Principal Data Scientist,$178K - $233K (Glassdoor est.),"Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the……
Skills: Live chat, R, Tableau, SQL, Analysis skills",3.9,Atlassian,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/principal-data-scientist-atlassian-JV_IC1147401_KO0,24_KE25,34.htm?jl=1009345940137",0,0,178,233,205.5,CA,22,0,0,0,0,1,data scientist,senior
102,"Product Manager II, Data Science - Enterprise Tools",$113K - $170K (Employer est.),"Ability to communicate effectively with data scientists, understand ML workflow, and explain technical concepts to non-technical stakeholders.…
Skills: Machine learning, A/B testing, Data science",4,DraftKings,Remote,1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/product-manager-ii-data-science-enterprise-tools-draftkings-JV_KO0,48_KE49,59.htm?jl=1009363880471",1,0,113,170,141.5,Remote,12,1,0,0,0,0,data scientist,manager
103,Professional Development Program (PDP) - Data Science Class of 2025,$88K - $92K (Employer est.),"Also, communicating the ideas and solutions to a broad community of non-mathematicians and acting as a driving force in international and interdisciplinary……
Skills: Power BI, Management, Big data, R, Git",3.9,BASF Corporation,"Florham Park, NJ",10000+ Employees,1865,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/professional-development-program-pdp-data-science-class-of-2025-basf-corporation-JV_IC1126766_KO0,63_KE64,80.htm?jl=1009362350012",1,0,88,92,90,NJ,159,0,0,1,1,0,data scientist,not applicable
105,AI - Analytics and Insights - Manager,$141K - $295K (Employer est.),"Undergraduate or master’s degree in a quantitative field (e.g. engineering, computer science, business, economics, finance, statistics, and/or analytics).…
Skills: TensorFlow, CI/CD, Azure, Data mining, Management",3.8,EY,"New York, NY",10000+ Employees,1989,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/ai-analytics-and-insights-manager-ey-JV_IC1132348_KO0,33_KE34,36.htm?jl=1009373276444",1,0,141,295,218,NY,35,0,0,0,0,0,data analyst,manager
106,2025 Quantitative Analytics Summer Associate Program,$135K - $155K (Employer est.),"You'll help develop or validate mathematical models, methodologies and tools used throughout the firm while gaining in-depth insight into the world of risk……
Skills: Statistics, Pricing, Financial modeling, Calculus, Research",4,JPMorgan Chase & Co,United States,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/2025-quantitative-analytics-summer-associate-program-jpmorgan-chase-co-JV_KO0,52_KE53,70.htm?jl=1009369102443",1,0,135,155,145,US,225,0,0,0,0,0,data analyst,head
107,Director - Finance Data Science & Analytics,$150K - $225K (Employer est.),"Additionally, the director will research new technologies, tools, and algorithms to find out potential improvement opportunities within the Finance, and will……
Skills: Power BI, Apache Hive, SQL, Analysis skills, Machine learning",4.1,Amex,"New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-finance-data-science-analytics-amex-JV_IC1132348_KO0,39_KE40,44.htm?jl=1009371396028",1,0,150,225,187.5,NY,174,1,0,1,0,1,data scientist,not applicable
108,"Associate Director, Data Science",$202K - $245K (Employer est.),"At Maze, we are impact obsessed in every initiative and as part of your role, you will be responsible for evaluating beyond the hype of the latest technologies……
Skills: Cell biology, R, Git, Google Cloud Platform, Statistical analysis",4.3,Maze Therapeutics,"South San Francisco, CA",51 to 200 Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/associate-director-data-science-maze-therapeutics-JV_IC1147412_KO0,31_KE32,49.htm?jl=1009376090458",1,0,202,245,223.5,CA,--,0,0,0,0,0,data scientist,head
109,Head of Data Engineering,$194K - $281K (Employer est.),"You will lead a world-class data engineering practice, shape up technical strategy and data architecture, and develop data products to enable reporting,……
Skills: CI/CD, DevOps, Tableau, Microservices, Machine learning",3.9,Atlassian,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/head-of-data-engineering-atlassian-JV_IC1147401_KO0,24_KE25,34.htm?jl=1009380059108",1,0,194,281,237.5,CA,22,1,0,0,0,0,data engineer,head
110,Marketing Performance and Analytics Analyst,$75K - $85K (Employer est.),"Master analytics and visualization tools (Funnel.io, Looker Studio, Power BI, Tableau) for data aggregation, analysis, and visualization, driving actionable……
Skills: Power BI, Web analytics, R, Google Tag Manager, Tableau",3.6,Finn Partners,Remote,1001 to 5000 Employees,2011,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/marketing-performance-and-analytics-analyst-finn-partners-JV_KO0,43_KE44,57.htm?jl=1009376625316",1,0,75,85,80,Remote,13,0,0,1,0,0,data analyst,not applicable
111,Manager Data Science,$110K - $240K (Employer est.),"40% People Management & Team Leadership - Provide leadership, mentorship and coaching to Data Scientists (individual contributors) and evaluate performance,……
Skills: Data mining, Management, Business intelligence, Computer vision, Data analysis skills",3.8,Home Depot / THD,"Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-data-science-home-depot-thd-JV_IC1155583_KO0,20_KE21,35.htm?jl=1009279192135",1,0,110,240,175,GA,46,0,0,0,0,0,data scientist,manager
112,Senior Manager-Data Science,$90K - $165K (Employer est.),"AIM group is responsible for driving Commercial Customer acquisitions, engagement & retention globally by evolving our card & beyond-card products, targeting……
Skills: Management, Computer vision, Big data, Spark, Apache Hive",4.1,Amex,"New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-manager-data-science-amex-JV_IC1132348_KO0,27_KE28,32.htm?jl=1009367075223",1,0,90,165,127.5,NY,174,0,0,0,1,0,data scientist,senior
113,"Sr. Data Engineer, Amazon",$139K - $241K (Employer est.),"You should be able to design, implement and operate large-scale, high-volume, high-performance data structures for analytics and data science teams.…
Skills: Data modeling, Business intelligence, Node.js, Big data, Data structures",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-data-engineer-amazon-amazon-com-services-llc-JV_IC1150505_KO0,23_KE24,47.htm?jl=1009378348901",1,0,139,241,190,WA,30,0,0,0,1,0,data engineer,senior
114,Data Scientist II,$90K - $120K (Employer est.),"PhD in Statistics, Biostatistics, Data Science or equivalent field. The primary objective of this role is to efficiently and independently execute data science……
Skills: R, Data analysis skills, Google Cloud Platform, Research, SQL",3.5,Veracyte,"San Diego, CA",501 to 1000 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/data-scientist-ii-veracyte-JV_IC1147311_KO0,17_KE18,26.htm?jl=1009380926431",1,0,90,120,105,CA,16,0,0,0,0,1,data scientist,not applicable
115,Senior Data Scientist,$117K - $229K (Employer est.),"Bachelor's Degree in Computer Science or related technical field AND 8+ years technical engineering experience with coding in languages including, but not……
Skills: C#, Java, C++, C, JavaScript",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-data-scientist-microsoft-JV_IC1150499_KO0,21_KE22,31.htm?jl=1009377994717",1,0,117,229,173,WA,49,0,0,0,0,0,data scientist,senior
116,"SaaS Product Marketing Manager, Data Science & AI",$145K - $185K (Glassdoor est.),"The SaaS Product Marketing Manager plays a pivotal role in driving the success of new solutions by developing and executing comprehensive Go-To-Market (GTM)……
Skills: Sales, Continuous improvement, Product management, Agile, SaaS",4.1,Hewlett Packard,"Palo Alto, CA",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/saas-product-marketing-manager-data-science-ai-hewlett-packard-JV_IC1147434_KO0,46_KE47,62.htm?jl=1009342168629",0,0,145,185,165,CA,85,0,0,0,0,0,data scientist,manager
118,"Senior Manager, Business Analytics",$160K - $175K (Employer est.),"Work closely with Finance leadership to expand, refine and define Hungryroot's central business analytics strategy and roadmap, while driving data-driven……
Skills: R, SQL, Analysis skills, Data science, Leadership",3.6,Hungryroot,United States,51 to 200 Employees,2015,Company - Private,Grocery Stores,Retail & Wholesale,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/senior-manager-business-analytics-hungryroot-JV_KO0,33_KE34,44.htm?jl=1009379131465",1,0,160,175,167.5,US,9,0,0,0,0,1,data analyst,senior
119,"Senior Data Scientist, Product",$158K - $208K (Employer est.),"Advanced degree in a quantitative or technical field. 4+ years of industry or other quantitative technical fields (which may include academia).…
Skills: R, SQL, Python, Analytics",3.1,Oscar Health,"New York, NY",1001 to 5000 Employees,2012,Company - Public,Insurance Agencies & Brokerages,Insurance,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/senior-data-scientist-product-oscar-health-JV_IC1132348_KO0,29_KE30,42.htm?jl=1009379507565",1,0,158,208,183,NY,12,0,1,0,0,1,data scientist,senior
121,Director of Marketing Science & AI,$138K - $294K (Employer est.),"Collaborate with marketing, sales, media, analytics, platform engineering, data engineering, data science and marketing operations teams to centralize end-to……
Skills: Program management, Management, Sales, Data analysis skills, Taxonomy",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-of-marketing-science-ai-microsoft-JV_IC1150499_KO0,32_KE33,42.htm?jl=1009377994766",1,0,138,294,216,WA,49,0,0,0,0,0,data scientist,not applicable
122,"Director, Data Science",$120K - $287K (Employer est.),"We are looking for a motivated product data science leader to oversee PayPal’s peer-to-peer (P2P) payments business.…
Skills: Management, Data analytics, Organizational skills, A/B testing, Data science",3.8,PayPal,"San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-data-science-paypal-JV_IC1147436_KO0,21_KE22,28.htm?jl=1009381158939",1,0,120,287,203.5,CA,26,0,0,0,0,0,data scientist,not applicable
123,"VP of Engineering, Data and AI",$165K - $300K (Employer est.),"This role is crucial in driving our data strategy, overseeing the development and implementation of data systems, and ensuring the successful deployment of……
Skills: Azure, Big data, Spark, R, Google Cloud Platform",3.2,Headspace,Remote,1001 to 5000 Employees,2010,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/vp-of-engineering-data-and-ai-headspace-JV_KO0,29_KE30,39.htm?jl=1009362373420",1,0,165,300,232.5,Remote,14,0,0,0,1,0,data engineer,head
124,Quantitative Analyst II,$124K - $190K (Employer est.),"This position requires either equivalent practical experience or a Bachelor's degree in a related field. Collaborate with firm-wide analytics teams to deliver……
Skills: Statistics, Spark, SQL, Analysis skills, Math",3.7,Affirm,Remote,501 to 1000 Employees,2012,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/quantitative-analyst-ii-affirm-JV_KO0,23_KE24,30.htm?jl=1009281101689",1,0,124,190,157,Remote,12,0,0,0,0,1,data analyst,not applicable
126,"Associate Director, Quantitative Analytics & Data Science Specialist",$119K - $156K (Employer est.),"Engage in the design, enhancement, and implementation of financial forecast models, tools, and analytics. Master’s degree or foreign equivalent in Mathematics……
Skills: Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, SAS",3.9,UBS,"New York, NY",10000+ Employees,1862,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/associate-director-quantitative-analytics-data-science-specialist-ubs-JV_IC1132348_KO0,65_KE66,69.htm?jl=1009363916354",1,0,119,156,137.5,NY,162,0,0,1,0,0,data scientist,head
127,"Associate Director, People Data and AI",$135K - $197K (Glassdoor est.),"I have extensive experience in HR analytics, AI, or a related field, with a demonstrable track record of leading successful data-driven projects in an HR……
Skills: R, Alteryx, Statistical analysis, Analysis skills, Human resources",3.5,Kraft Heinz Company,"Chicago, IL",10000+ Employees,2015,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),"https://www.glassdoor.com/job-listing/associate-director-people-data-and-ai-kraft-heinz-company-JV_IC1128808_KO0,37_KE38,57.htm?jl=1009376354849",0,0,135,197,166,IL,9,0,0,0,0,0,teaching,head
129,"Director, Business Data Science & Analytics",$194K - $250K (Employer est.),"MS or higher in Computer Science, Mathematics, Statistics or a related field; or equivalent professional experience. 2+ years in a Director+ role.…
Skills: Computer science, Microsoft Excel, Management, Salesforce, R",3.8,AppFolio,"San Diego, CA",1001 to 5000 Employees,2006,Company - Public,Software Development,Information Technology,$500 million to $1 billion (USD),"https://www.glassdoor.com/job-listing/director-business-data-science-analytics-appfolio-JV_IC1147311_KO0,40_KE41,49.htm?jl=1009324402547",1,0,194,250,222,CA,18,0,0,0,0,0,data scientist,not applicable
130,Director-Data Science,$150K - $225K (Employer est.),"Masters or PhD degree in Computer Science, Mathematics or related field. Build the vision, strategy, and roadmap of Cloud-native AI/ML core foundation products&……
Skills: Big data, Google Cloud Platform, AWS, Machine learning, Deep learning",4.1,Amex,United States,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-data-science-amex-JV_KO0,21_KE22,26.htm?jl=1009377734274",1,0,150,225,187.5,US,174,1,0,0,1,0,data scientist,not applicable
131,Associate Director of Data Science - Omnichannel & Customer Analytics,$174K - $225K (Employer est.),"Leadership: Provide visionary leadership in the role of data science, driving the development and execution of best-in-class strategies for omnichannel customer……
Skills: Data mining, R, Data analysis skills, Marketing mix modeling, Analysis skills",4,Kite Pharma,Remote,1001 to 5000 Employees,2009,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/associate-director-of-data-science-omnichannel-customer-analytics-kite-pharma-JV_KO0,65_KE66,77.htm?jl=1009329556377",1,0,174,225,199.5,Remote,15,0,0,0,0,0,data scientist,head
132,"Director, Data Science",$127K - $176K (Glassdoor est.),"Experience in identifying and resolving complex technical and operational problems within data science department.…
Skills: Statistics, Azure, Data mining, Management, AWS",3.9,Zelis,"Morristown, NJ",1001 to 5000 Employees,2016,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/director-data-science-zelis-JV_IC1126891_KO0,21_KE22,27.htm?jl=1009336134495",0,0,127,176,151.5,NJ,8,0,0,0,0,0,data scientist,not applicable
133,Sr. Enterprise Data Analyst,$89K - $122K (Employer est.),"You will join a results-oriented team and participate in the design, implementation, maintenance and support of our analytical and data modeling applications……
Skills: Business development, Organizational skills, Communication skills",3.7,Under Armour,"Baltimore, MD",10000+ Employees,1996,Company - Public,Sporting Goods Stores,Retail & Wholesale,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/sr-enterprise-data-analyst-under-armour-JV_IC1153527_KO0,26_KE27,39.htm?jl=1009363377300",1,0,89,122,105.5,MD,28,0,0,0,0,0,data analyst,senior
134,Vice President of Data and Analytics,$133K - $192K (Glassdoor est.),"Undergraduate degree in computer science, statistics, mathematics, engineering, data science or a related field; MS, MBA, or related advanced degree is a plus.…
Skills: Data modeling, Azure, Management, AWS, Private equity",3.4,Fogo de Chao,"Dallas, TX",5001 to 10000 Employees,1979,Company - Private,Restaurants & Cafes,Restaurants & Food Service,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/vice-president-of-data-and-analytics-fogo-de-chao-JV_IC1139977_KO0,36_KE37,49.htm?jl=1009381029251",0,0,133,192,162.5,TX,45,0,0,0,0,0,data analyst,head
135,"Director, Data Science",$159K - $200K (Employer est.),"Master’s Degree or higher in machine learning, science, math, statistics, engineering field, or equivalent work experience.…
Skills: Analysis skills, C++, C, Machine learning, Distributed systems",4.2,CoreLogic,"Dallas, TX",5001 to 10000 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/director-data-science-corelogic-JV_IC1139977_KO0,21_KE22,31.htm?jl=1009349104306",1,0,159,200,179.5,TX,14,1,0,0,0,0,data scientist,not applicable
136,"Manager, Analytics and Data Engineer - Remote",$105K - $190K (Employer est.),"This position will design, develop, implement, test, deploy, monitor, and maintain the delivery of data and analytics pipelines to support actuarial reporting……
Skills: CI/CD, Pricing, Power BI, Azure, Software deployment",3.5,Optum,"Minnetonka, MN",10000+ Employees,--,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-analytics-and-data-engineer-remote-optum-JV_IC1142552_KO0,42_KE43,48.htm?jl=1009379435473",1,0,105,190,147.5,MN,--,0,0,1,0,0,data engineer,manager
137,"Manager, Product Data Science and Analytics",$142K - $171K (Employer est.),"A technical degree in a related field (statistics, data science, analytics). 7-10 years preferred of data science or analytics experience plus a relevant……
Skills: Statistics, Writing skills, R, Accounting software, SQL",3.7,Bill.com,"Draper, UT",1001 to 5000 Employees,2006,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/manager-product-data-science-and-analytics-bill-com-JV_IC1128274_KO0,42_KE43,51.htm?jl=1009369688338",1,0,142,171,156.5,UT,18,0,0,0,0,1,data scientist,manager
138,"Data Scientist, Optimization/ML",$160K - $220K (Employer est.),"PhD in a quantitative field such as Operations Research, Mathematics, Computer Science, or a related discipline, with a focus on optimization and machine……
Skills: Data analysis skills, SQL, Analysis skills, Machine learning, Communication skills",3.2,Captions,"New York, NY",Unknown,--,Company - Private,Film Production,Media & Communication,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-optimization-ml-captions-JV_IC1132348_KO0,30_KE31,39.htm?jl=1009379513397",1,0,160,220,190,NY,--,1,0,0,0,1,data scientist,not applicable
139,Associate Business Intelligence Director,$103K - $191K (Employer est.),"This role will build scalable analytics solutions and develop agile data visualizations to aid in data storytelling within defined scope, innovating new tools,……
Skills: Predictive analytics, AI",3.9,IQVIA,Remote,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/associate-business-intelligence-director-iqvia-JV_KO0,40_KE41,46.htm?jl=1009314942894",1,0,103,191,147,Remote,7,0,0,0,0,0,teaching,head
141,"Senior Manager, Data Analytics/Insights",$118K - $182K (Employer est.),"Excellent leadership and interpersonal skills, with the ability to effectively communicate complex technical concepts to non-technical stakeholders.…
Skills: Power BI, Data mining, R, Tableau, SQL",4.1,Hewlett Packard,"Spring, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-manager-data-analytics-insights-hewlett-packard-JV_IC1140222_KO0,38_KE39,54.htm?jl=1009379198679",1,0,118,182,150,TX,85,0,0,1,0,1,data analyst,senior
143,Sr. Associate Data Engineering,$82K - $137K (Employer est.),"Address unique technical challenges together and support the team's growth in the field of data engineering. Effectively communicate technical concepts to both……
Skills: Computer science, Azure, Microsoft SQL Server, SQL, Database management",3.8,McKesson,"The Woodlands, TX",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-associate-data-engineering-mckesson-JV_IC1161666_KO0,29_KE30,38.htm?jl=1009377109238",1,0,82,137,109.5,TX,191,0,0,0,0,1,data engineer,senior
145,"Sr BIE, Amazon Search, Search Data Science",$117K - $203K (Employer est.),"Experience with theory and practice of design of experiments and statistical analysis of results. We spend time on evaluating experiments to develop durable……
Skills: Data mining, Military, SQL, Statistical analysis, AWS",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-bie-amazon-search-search-data-science-amazon-com-services-llc-JV_IC1150505_KO0,40_KE41,64.htm?jl=1009347905367",1,0,117,203,160,WA,30,0,0,0,0,1,data scientist,senior
146,Operations Data Analyst,$130K - $260K (Employer est.),"Work with data engineers to develop data pipelines and ensure data quality. Stay up-to-date with the latest data science techniques and technologies.…
Skills: R, SQL, Analysis skills, Regression analysis, A/B testing",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/operations-data-analyst-tiktok-JV_IC1147436_KO0,23_KE24,30.htm?jl=1009208741483",1,0,130,260,195,CA,8,0,0,0,0,1,data analyst,not applicable
147,Data Scientist,$136K - $249K (Employer est.),"Model Optimization: Optimize models for performance and scalability, applying state-of-the-art techniques. Solid background in data science, machine learning,……
Skills: Computer vision, Data analysis skills, Tableau, SQL, AWS",4.1,Apple,"Sunnyvale, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-apple-JV_IC1147442_KO0,14_KE15,20.htm?jl=1009339347687",1,0,136,249,192.5,CA,48,1,0,0,0,1,data scientist,not applicable
148,Sr. Data Analyst: Operations Analytics,$104K - $122K (Employer est.),"In this role, you will own analyses and experimental design from beginning to end, including opportunity identification, problem scoping, analysis framing /……
Skills: Statistics, Power BI, Tableau, SQL, Analysis skills",4.1,Yum! Brands,"Plano, TX",10000+ Employees,1997,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-data-analyst-operations-analytics-yum-brands-JV_IC1140045_KO0,36_KE37,47.htm?jl=1009320734651",1,0,104,122,113,TX,27,0,0,1,0,1,data analyst,senior
149,People Analytics Consultant,$114K - $151K (Employer est.),"You will develop actionable recommendations and support your partners through implementation of these recommendations. This role is also eligible for bonus and.…
Skills: Statistics, Microsoft Excel, Qualitative research, Tableau, Statistical analysis",3.6,DocuSign,United States,5001 to 10000 Employees,2003,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/people-analytics-consultant-docusign-JV_KO0,27_KE28,36.htm?jl=1009379250407",1,0,114,151,132.5,US,21,0,0,0,0,0,data analyst,not applicable
