,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL,Employer est.,Per hour,Min Salary,Max Salary,Avg Salary,State,Companys Age,MachineLearning,python,power bi,big data,sql,Refined Title,Seniority
421,"Senior Applied Scientist, ML_AI",$150K - $260K (Employer est.),"PhD in engineering, technology, computer science, machine learning, robotics, operations research, statistics, mathematics or equivalent quantitative field.…
Skills: Statistics, Data mining, Spark, Java, AWS",3.7,"Amazon Development Center U.S., Inc. - B02","Santa Clara, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-applied-scientist-ml-ai-amazon-development-center-us-inc-b02-JV_IC1147439_KO0,30_KE31,67.htm?jl=1009307340430",1,0,150,260,205,CA,30,1,0,0,0,0,applied scientist,senior
423,Director of Data Science & Insights,$141K - $189K (Glassdoor est.),"Comprehensive knowledge of data science methodologies, including feature engineering, model evaluation, and deployment.…
Skills: Computer science, Azure, Management, Big data, Software deployment",3.9,Novelis Corporate HQ,"Atlanta, GA",10000+ Employees,2005,Subsidiary or Business Segment,Metal & Mineral Manufacturing,Manufacturing,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-of-data-science-insights-novelis-corporate-hq-JV_IC1155583_KO0,33_KE34,54.htm?jl=1009377915449",0,0,141,189,165,GA,19,0,0,0,1,0,data scientist,not applicable
424,"AIML - Language Expansion Engineer, Siri and Information Intelligence",$116K - $204K (Employer est.),"Master's degree or higher in Computer Science, Computational Linguistics or a related field. You'll develop workflows and frameworks for building, fine-tuning,……
Skills: Computer science, C++, C, Scripting, Data science",4.1,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/aiml-language-expansion-engineer-siri-and-information-intelligence-apple-JV_IC1150505_KO0,66_KE67,72.htm?jl=1009353507091",1,0,116,204,160,WA,48,0,0,0,0,0,data engineer,not applicable
425,"Assistant Vice President, Data Scientist",$95K - $135K (Glassdoor est.),"Utilize SQL to curate large volumes of data, perform statistical analysis and data engineering. Utilizing SQL to curate large volumes of data, perform……
Skills: Data mining, Tableau, SQL, Machine learning, Distributed systems",3.9,Bank of America,"Charlotte, NC",10000+ Employees,1904,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/assistant-vice-president-data-scientist-bank-of-america-JV_IC1138644_KO0,39_KE40,55.htm?jl=1009361843397",0,0,95,135,115,NC,120,1,0,0,0,1,data scientist,head
426,"Data Scientist, Fraud & Risk",$165K - $185K (Employer est.),"Explain technical choices, model limitations and trade-offs in a cross functional risk evaluation forums. Desire and ability to mentor junior Data Scientists……
Skills: R, SQL, Machine learning, Data science, Communication skills",4.1,Wealthfront,"Palo Alto, CA",51 to 200 Employees,2011,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-fraud-risk-wealthfront-JV_IC1147434_KO0,25_KE26,37.htm?jl=1009366366413",1,0,165,185,175,CA,13,1,0,0,0,1,data scientist,not applicable
427,"CORPORATE VICE PRESIDENT, Lead Data Scientist",$178K (Employer est.),"(4) Collaborating with cross-functional teams comprised of Product Managers, Engineers, and business leaders to design and implement Underwriting project……
Skills: Microsoft Powerpoint, Computer science, Visual Studio, Spark, R",3.7,New York Life Insurance Co,Remote,10000+ Employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"https://www.glassdoor.com/job-listing/corporate-vice-president-lead-data-scientist-new-york-life-insurance-co-JV_KO0,44_KE45,71.htm?jl=1009363778147",1,0,178,178,178,Remote,179,0,0,0,0,0,data scientist,head
428,Applied Machine Learning Scientist,$107K - $179K (Employer est.),"Bachelor’s degree in Computer Science, Mathematics, Statistics, or related field. Knowledge in Economics, Finance, or related field.…
Skills: Statistical analysis, AWS, Analysis skills, Sentiment analytics, Machine learning",3.9,The Washington Post,"Washington, DC",1001 to 5000 Employees,1877,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/applied-machine-learning-scientist-the-washington-post-JV_IC1138213_KO0,34_KE35,54.htm?jl=1009363350132",1,0,107,179,143,DC,147,1,0,0,0,0,machine learning,not applicable
429,"Staff Algorithms Engineer, Autobidder",$108K - $330K (Employer est.),"Design and develop tooling and simulation systems to monitor, track, and improve the field performance of assets by defining metrics, tracking performance, and……
Skills: CI/CD, Kubernetes, Git, Analysis skills, Docker",3.5,Tesla,"Palo Alto, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/staff-algorithms-engineer-autobidder-tesla-JV_IC1147434_KO0,36_KE37,42.htm?jl=1009376145182",1,0,108,330,219,CA,21,0,0,0,0,0,data engineer,staff
430,Anti-Fraud Data Analyst - USDS,$83K - $130K (Glassdoor est.),"Design processes and build effective workflows to define characteristics of different fraud types, capture new risk types, and collaborate with cross-functional……
Skills: Statistics, Computer science, R, Data analysis skills, SQL",3.3,TikTok,"Seattle, WA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/anti-fraud-data-analyst-usds-tiktok-JV_IC1150505_KO0,28_KE29,35.htm?jl=1009248825523",0,0,83,130,106.5,WA,8,0,0,0,0,1,data analyst,not applicable
431,"Corporate Vice President, Analytics Data Engineer",$123K - $210K (Employer est.),"Graduate-level degree in computer science, engineering, or relevant work experience. Implement data models and structures to support data products and……
Skills: Jira, Computer science, Big data, Git, SQL",3.7,New York Life Insurance Co,"New York, NY",10000+ Employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"https://www.glassdoor.com/job-listing/corporate-vice-president-analytics-data-engineer-new-york-life-insurance-co-JV_IC1132348_KO0,48_KE49,75.htm?jl=1009363778150",1,0,123,210,166.5,NY,179,0,0,0,1,1,data engineer,head
